[03:36:54.460 --> 03:36:56.460]  Fed: Well, anything else
[04:01:57.460 --> 04:01:58.460]  Val: I can't remember all I have.
[04:01:58.460 --> 04:01:59.460]  Fed: Yeah, sure.
[04:01:59.460 --> 04:02:01.460]  Val: But if you ask me
[04:02:01.460 --> 04:02:03.460]  Val: If I remember...
[04:02:03.460 --> 04:02:05.460]  Val: I just...
[04:02:05.460 --> 04:02:07.460]  Val: I will remember it.
[04:02:07.460 --> 04:02:09.460]  Val: I have to be in a mindset.
[04:02:09.460 --> 04:02:10.460]  Fed: Sure.
[04:02:10.460 --> 04:02:12.460]  Val: You know, I mean, like...
[04:02:12.460 --> 04:02:14.460]  Val: your memory is...
[04:02:14.460 --> 04:02:15.460]  Fed: Yeah.
[04:02:16.460 --> 04:02:18.460]  Fed: Yeah, if I was going to ask you about something very specific.
[04:02:18.460 --> 04:02:20.460]  Fed: You could recall more about them.
[04:02:20.460 --> 04:02:21.460]  Fed: Tell me everything you know about everything.
[04:02:21.460 --> 04:02:23.460]  Val: And right now, I'm like a...
[04:02:23.460 --> 04:02:24.460]  Val: I'm not even active anymore.
[04:02:24.460 --> 04:02:26.460]  Val: I'm [???] stuff right now from my memory
[04:02:26.460 --> 04:02:27.460]  Val: because I'm in this room.
[04:02:27.460 --> 04:02:28.460]  Val: And I'm a little bit nervous.
[04:02:28.460 --> 04:02:29.460]  Val: I'm a bit not nervous.
[04:02:29.460 --> 04:02:31.460]  Val: So my brain is adapted to that point.
[04:02:31.460 --> 04:02:33.460]  Val: So as soon as I walk out of the room,
[04:02:33.460 --> 04:02:34.460]  Val: I'm like, oh, we're going to say that.
[04:02:34.460 --> 04:02:35.460]  Fed: Yeah, yeah.
[04:02:35.460 --> 04:02:36.460]  Val: You know what I mean?
[04:02:36.460 --> 04:02:37.460]  Fed: Okay.
[04:02:37.460 --> 04:02:38.460]  Fed: So...
[04:02:38.460 --> 04:02:39.460]  Fed: Okay.
[04:02:39.460 --> 04:02:40.460]  Fed: Anything else that...
[04:02:40.460 --> 04:02:41.460]  Fed: Oh, in turn?
[04:02:41.460 --> 04:02:42.460]  Fed: Yeah.
[04:02:42.460 --> 04:02:43.460]  Fed: Okay.
[04:02:43.460 --> 04:02:44.460]  Fed: Well, you still have my number so if like
[04:02:44.460 --> 04:02:46.460]  Fed: you think of something that...
[04:02:46.460 --> 04:02:48.460]  Fed: you think would be interested in, you know...
[04:02:48.460 --> 04:02:49.460]  Fed: surely you can always let me know
[04:02:49.460 --> 04:02:50.460]  Fed: and I can find a home for it.
[04:02:50.460 --> 04:02:51.460]  Val: You think?
[04:02:51.460 --> 04:02:53.460]  Val: And do you mean to prosecute?
[04:02:53.460 --> 04:02:54.460]  Val: Do you mean to go after it?
[04:02:54.460 --> 04:02:57.460]  Val: Do you mean to like to read that is...
[04:02:57.460 --> 04:02:58.460]  Val: that needs to be stopped?
[04:02:58.460 --> 04:02:59.460]  Val: Or would you say it's like,
[04:02:59.460 --> 04:03:02.460]  Val: oh, there's some fun just in hacks happening?
[04:03:02.460 --> 04:03:03.460]  Val: What do you mean?
[04:03:03.460 --> 04:03:05.460]  Fed: I mean, all those things are...
[04:03:05.460 --> 04:03:08.460]  Fed: I work a very narrow spectrum, right?
[04:03:08.460 --> 04:03:09.460]  Fed: I work cyber-crime.
[04:03:09.460 --> 04:03:10.460]  Val: Okay.
[04:03:10.460 --> 04:03:11.460]  Val: But there's...
[04:03:11.460 --> 04:03:12.460]  Val: You're fraud, though.
[04:03:12.460 --> 04:03:13.460]  Fed: Yeah.
[04:03:13.460 --> 04:03:15.460]  Fed: But there's also like counter-terrorism
[04:03:15.460 --> 04:03:16.460]  Fed: or white collar crimes
[04:03:16.460 --> 04:03:18.460]  Fed: or crimes against some children
[04:03:18.460 --> 04:03:20.460]  Fed: and national security threats.
