
[26:19.000 --> 26:20.000]  So I,
[01:08:53.000 --> 01:08:55.000]  Cause I mean, it's really weird when you don't sleep, you know,
[01:08:55.000 --> 01:09:00.000]  and then, you know, cause I'll take a nap at like 130 when the market closes.
[01:09:00.000 --> 01:09:03.000]  And then my mind will refresh itself.
[01:09:03.000 --> 01:09:05.000]  But sometimes I don't get that nap.
[01:09:05.000 --> 01:09:08.000]  So, but Marie showed me and she said, look, right here,
[01:09:08.000 --> 01:09:11.000]  you can see the text between Lori and us.
[01:09:11.000 --> 01:09:13.000]  She was here on Tuesday.
[01:09:13.000 --> 01:09:15.000]  So she went back home and she came back on Friday.
[01:09:15.000 --> 01:09:16.000]  And that was her first day.
[01:09:16.000 --> 01:09:18.000]  She worked Friday and she was good.
[01:09:18.000 --> 01:09:22.000]  And we paid her 80 bucks in the center on Saturday.
[01:09:22.000 --> 01:09:24.000]  She comes back, but she comes late.
[01:09:24.000 --> 01:09:25.000]  Okay.
[01:09:25.000 --> 01:09:27.000]  She is like very late.
[01:09:27.000 --> 01:09:29.000]  And she says, I went to the dentist and had an abscess.
[01:09:29.000 --> 01:09:32.000]  And she showed pictures to prove it that she was at the dentist.
[01:09:32.000 --> 01:09:33.000]  I said, okay, fine.
[01:09:33.000 --> 01:09:36.000]  So she does all the cleanser of the kitchen,
[01:09:36.000 --> 01:09:40.000]  does all the dishes and does the sheets, half the sheets of laundry.
[01:09:40.000 --> 01:09:42.000]  It takes Marla with her.
[01:09:42.000 --> 01:09:44.000]  One interesting thing happened.
[01:09:44.000 --> 01:09:47.000]  Marla was freaked out in the laundry room.
[01:09:47.000 --> 01:09:50.000]  And he said to his mom and friends that she,
[01:09:50.000 --> 01:09:53.000]  Lori turned white and really white.
[01:09:53.000 --> 01:09:55.000]  And he thought she was going to die.
[01:09:55.000 --> 01:09:56.000]  This is Marla.
[01:09:56.000 --> 01:09:57.000]  So he was very scared for her.
[01:09:57.000 --> 01:09:58.000]  And we sat her down.
[01:09:58.000 --> 01:09:59.000]  We asked her, are you okay?
[01:09:59.000 --> 01:10:00.000]  She said, I'm fine.
[01:10:00.000 --> 01:10:01.000]  I'm fine.
[01:10:01.000 --> 01:10:02.000]  It's a COPD she has.
[01:10:02.000 --> 01:10:05.000]  It's called, it's some sort of pulmonary thing.
[01:10:05.000 --> 01:10:06.000]  I don't really know.
[01:10:06.000 --> 01:10:07.000]  Apparently.
[01:10:07.000 --> 01:10:08.000]  Yes.
[01:10:08.000 --> 01:10:10.000]  Apparently she has machines at home.
[01:10:10.000 --> 01:10:12.000]  She has a machine, like a little machine that helps her breathe.
[01:10:12.000 --> 01:10:14.000]  Which I'm like, okay.
[01:10:14.000 --> 01:10:17.000]  And she had a bunch of these things.
[01:10:17.000 --> 01:10:19.000]  The inhaler.
[01:10:19.000 --> 01:10:20.000]  And it's strange.
[01:10:20.000 --> 01:10:21.000]  Everyone has an inhaler.
[01:10:21.000 --> 01:10:23.000]  She knows, but there's a different looking one.
[01:10:23.000 --> 01:10:24.000]  It's very odd.
[01:10:24.000 --> 01:10:26.000]  And it has the date and a wheel.
[01:10:26.000 --> 01:10:29.000]  So I don't know that much about that one.
[01:10:29.000 --> 01:10:32.000]  She doesn't want to go home.
[01:10:32.000 --> 01:10:33.000]  Okay.
[01:10:33.000 --> 01:10:35.000]  She's like 60 years old, mid 60s actually.
[01:10:35.000 --> 01:10:36.000]  Found out how old she was.
[01:10:36.000 --> 01:10:39.000]  She was born in 1960.
[01:10:39.000 --> 01:10:42.000]  So she's exactly 60 years.
[01:10:42.000 --> 01:10:46.000]  And then the reason I did that math really quick is because I already knew the answer.
[01:10:46.000 --> 01:10:47.000]  Okay.
[01:10:47.000 --> 01:10:49.000]  I knew the answer.
[01:10:49.000 --> 01:10:52.000]  So she starts crying.
[01:10:52.000 --> 01:10:53.000]  At first it was a laugh.
[01:10:53.000 --> 01:10:55.000]  I heard them both laughing upstairs and I said, what's so funny?
[01:10:55.000 --> 01:10:56.000]  What's the joke?
[01:10:56.000 --> 01:10:57.000]  I want to know the joke.
[01:10:57.000 --> 01:10:58.000]  And I go, oh, you won't get it.
[01:10:58.000 --> 01:10:59.000]  You're a man.
[01:10:59.000 --> 01:11:00.000]  I'm like, oh, okay, fine.
[01:11:00.000 --> 01:11:04.000]  And then I go to the bathroom and then I come out and the crying turned to sobbing.
[01:11:04.000 --> 01:11:06.000]  Severe fucking sobbing.
[01:11:06.000 --> 01:11:12.000]  She was hugging Marie and Marie looked at me like, you know, she also gave me like the
[01:11:12.000 --> 01:11:13.000]  go away.
[01:11:13.000 --> 01:11:14.000]  It's a girl thing.
[01:11:14.000 --> 01:11:16.000]  You're not going to let me handle it.
[01:11:16.000 --> 01:11:17.000]  It's okay.
[01:11:17.000 --> 01:11:21.000]  So I go downstairs and Marie says, look, let's let her stay.
[01:11:21.000 --> 01:11:22.000]  She doesn't want to go home.
[01:11:22.000 --> 01:11:28.000]  So we'll put her up in the, we have in the little room at the top of the, if you see the layout,
[01:11:28.000 --> 01:11:29.000]  come over.
[01:11:29.000 --> 01:11:31.000]  You guys will see the layout for yourselves.
[01:11:31.000 --> 01:11:35.000]  So she stays in the little room upstairs.
[01:11:35.000 --> 01:11:38.000]  I don't think much too much about it.
[01:11:38.000 --> 01:11:39.000]  It's not a big deal.
[01:11:39.000 --> 01:11:42.000]  She wakes up, she takes a bath, which is odd.
[01:11:42.000 --> 01:11:44.000]  You know, you don't do that.
[01:11:44.000 --> 01:11:45.000]  It's a weird behavior.
[01:11:45.000 --> 01:11:48.000]  She takes a bath and she starts cleaning again.
[01:11:48.000 --> 01:11:50.000]  And we're like, okay, fine.
[01:11:50.000 --> 01:11:51.000]  Clean again.
[01:11:51.000 --> 01:11:53.000]  Sunday was the last, a third day anyway.
[01:11:53.000 --> 01:11:55.000]  We did a three day trial and it was the final day.
[01:11:55.000 --> 01:11:58.000]  So we knew she was gone for good no matter what on Sunday.
[01:11:58.000 --> 01:12:00.000]  She's always going out to her car.
[01:12:00.000 --> 01:12:01.000]  Okay.
[01:12:01.000 --> 01:12:03.000]  Which I did not think was too suspicious.
[01:12:03.000 --> 01:12:07.000]  I just thought she was going to join or something because she came back a little, you know,
[01:12:07.000 --> 01:12:10.000]  different, but happy, always happy, not miserable.
[01:12:10.000 --> 01:12:12.000]  And she would talk about her life a little bit.
[01:12:12.000 --> 01:12:19.000]  She told us about her daughter in Italy and she married a very wealthy Italian guy.
[01:12:19.000 --> 01:12:23.000]  And then it gets to be around 9.30, 10.
[01:12:23.000 --> 01:12:26.000]  And I'm like, Marie, you handled the hours.
[01:12:26.000 --> 01:12:28.000]  I don't, we're not going to pay her for the time she slept.
[01:12:28.000 --> 01:12:29.000]  Right.
[01:12:29.000 --> 01:12:30.000]  We're not paying her.
[01:12:30.000 --> 01:12:31.000]  So you take care of this.
[01:12:31.000 --> 01:12:32.000]  I don't want to deal with it.
[01:12:32.000 --> 01:12:36.000]  I'm going to the number and I'll send her the money.
[01:12:36.000 --> 01:12:38.000]  Marie goes, says, okay.
[01:12:38.000 --> 01:12:41.000]  Next thing I'm in my office area.
[01:12:41.000 --> 01:12:43.000]  Marie is not hit with her.
[01:12:43.000 --> 01:12:46.000]  She comes in and says, I'm really tired.
[01:12:46.000 --> 01:12:50.000]  Do you mind if I lay down for a few minutes before I drive home?
[01:12:50.000 --> 01:12:52.000]  And I say, sure, fine, no problem.
[01:12:52.000 --> 01:12:57.000]  So she's wearing like a jacket getting ready to, she's ready to leave.
[01:12:57.000 --> 01:13:00.000]  And then I look at her and like, she's actually ready to leave.
[01:13:00.000 --> 01:13:01.000]  It's good.
[01:13:01.000 --> 01:13:02.000]  Take a nap.
[01:13:02.000 --> 01:13:03.000]  Go for it.
[01:13:03.000 --> 01:13:04.000]  She lies down.
[01:13:04.000 --> 01:13:05.000]  She doesn't wake up.
[01:13:05.000 --> 01:13:09.000]  She dies.
[01:13:09.000 --> 01:13:12.000]  She fucking died on her bed.
[01:13:12.000 --> 01:13:14.000]  She's fucking dead.
[01:13:14.000 --> 01:13:15.000]  Like fucking dead.
[01:13:15.000 --> 01:13:16.000]  Right.
[01:13:16.000 --> 01:13:21.000]  And the only reason I knew she was dead was later because I mean, I thought she was alive
[01:13:21.000 --> 01:13:25.000]  because at any moment I thought she was going to pop up and we're pushing her and stuff like that.
[01:13:25.000 --> 01:13:29.000]  And I tried to feel for a pulse and I sort of remember what to do.
[01:13:29.000 --> 01:13:32.000]  And I swear to God, I felt the pulse and there was warmth in her wrist.
[01:13:32.000 --> 01:13:38.000]  And it was, unless I was feeling my own pulse in my fingers, which people do that too.
[01:13:38.000 --> 01:13:39.000]  I don't know.
[01:13:39.000 --> 01:13:45.000]  But it wasn't until she, like, I don't know anything about it.
[01:13:45.000 --> 01:13:49.000]  I mean, I saw my father dead, but I never saw that this happened.
[01:13:49.000 --> 01:13:54.000]  Like her face turned, it was like a bruise color.
[01:13:54.000 --> 01:13:56.000]  It was a purplish.
[01:13:56.000 --> 01:13:57.000]  It was not natural.
[01:13:57.000 --> 01:14:02.000]  And that's when we knew, like, holy shit, this woman is dead.
[01:14:02.000 --> 01:14:06.000]  And now it's fucking scary.
[01:14:06.000 --> 01:14:08.000]  So we were freaked out.
[01:14:08.000 --> 01:14:10.000]  Marla did not see anything.
[01:14:10.000 --> 01:14:11.000]  He was asleep.
[01:14:11.000 --> 01:14:12.000]  He was asleep.
[01:14:12.000 --> 01:14:14.000]  He's got his little treehouse room on the other side of the wall.
[01:14:14.000 --> 01:14:15.000]  Oh, thank you.
[01:14:15.000 --> 01:14:16.000]  Of course.
[01:14:16.000 --> 01:14:17.000]  Jesus.
[01:14:17.000 --> 01:14:18.000]  I mean, we didn't want him walking in either.
[01:14:18.000 --> 01:14:22.000]  So at all times, I had someone had to be in front of that door just in case he came down.
[01:14:22.000 --> 01:14:27.000]  Like, yeah, he doesn't want some more Cheerios, you know, kind of like TV.
[01:14:27.000 --> 01:14:30.000]  But of course, this morning, Marla, you can watch all the TV you want.
[01:14:30.000 --> 01:14:32.000]  You go upstairs and you watch TV.
[01:14:32.000 --> 01:14:34.000]  This is TV morning, right?
[01:14:34.000 --> 01:14:37.000]  You watch as much as you want.
[01:14:37.000 --> 01:14:43.000]  And Marie called the ambulance.
[01:14:43.000 --> 01:14:45.000]  And then all hell broke loose, man.
[01:14:45.000 --> 01:14:46.000]  Is it?
[01:14:46.000 --> 01:14:47.000]  The ambulance came.
[01:14:47.000 --> 01:14:51.000]  And what we learned later from the report, because it's in the report,
[01:14:51.000 --> 01:14:56.000]  was that, supposedly, Sabah, Sabah, hate with a B, having to,
[01:14:56.000 --> 01:15:02.000]  was talking to Patel at 9.30 a.m. in the morning on a Monday, which is weird.
[01:15:02.000 --> 01:15:08.000]  Because Patel did not, she either did not sleep in that before or this is all a lie.
[01:15:08.000 --> 01:15:09.000]  Okay.
[01:15:09.000 --> 01:15:14.000]  And calls and says, holy shit, there's an ambulance going to Val's and Marie's.
[01:15:14.000 --> 01:15:15.000]  Come over now.
[01:15:15.000 --> 01:15:16.000]  And then she calls Steve.
[01:15:16.000 --> 01:15:18.000]  And Steve comes over.
[01:15:18.000 --> 01:15:20.000]  So LAPD is there.
[01:15:20.000 --> 01:15:22.000]  The ambulance people are there.
[01:15:22.000 --> 01:15:24.000]  Steve is there.
[01:15:24.000 --> 01:15:25.000]  Patel is there.
[01:15:25.000 --> 01:15:28.000]  And not only is she there, but she is screaming at him.
[01:15:28.000 --> 01:15:31.000]  He's calling us murderers, saying profanities.
[01:15:31.000 --> 01:15:33.000]  Throwing fucking rocks.
[01:15:33.000 --> 01:15:36.000]  Throwing fucking rocks.
[01:15:36.000 --> 01:15:37.000]  All right.
[01:15:37.000 --> 01:15:39.000]  That's how fucking crazy she is.
[01:15:39.000 --> 01:15:43.000]  Not only did she show up, but all the people that hate us in the building are there.
[01:15:43.000 --> 01:15:45.000]  Just like really enjoying this.
[01:15:45.000 --> 01:15:47.000]  Not in the building, but the campus.
[01:15:47.000 --> 01:15:49.000]  And there's a, there's three or four of them.
[01:15:49.000 --> 01:15:51.000]  You know, and one of them is the management.
[01:15:51.000 --> 01:15:53.000]  We're in a huge fight with the management.
[01:15:53.000 --> 01:15:55.000]  A woman named Ashley Madison.
[01:15:55.000 --> 01:15:56.000]  Ashley Madison.
[01:15:56.000 --> 01:15:57.000]  Ashley Madison.
[01:15:57.000 --> 01:15:58.000]  Ashley Madison.
[01:15:58.000 --> 01:15:59.000]  Ashley Madison.
[01:15:59.000 --> 01:16:01.000]  Oh, no, no, no.
[01:16:01.000 --> 01:16:03.000]  I didn't hack that.
[01:16:03.000 --> 01:16:06.000]  Actually, something, she's just a pain in the ass.
[01:16:06.000 --> 01:16:12.000]  And she decided, oh, can I just tell you, police officers that Val, we always thought Val was on drugs.
[01:16:12.000 --> 01:16:14.000]  We always thought Marie was on drugs.
[01:16:14.000 --> 01:16:16.000]  And Bob, Bob, Bob.
[01:16:16.000 --> 01:16:17.000]  Okay.
[01:16:17.000 --> 01:16:20.000]  And she, and then this guy named Stosh.
[01:16:20.000 --> 01:16:26.000]  And I'll tell you, he's like one of these people that always wished he was a Marine, you know, the types.
[01:16:26.000 --> 01:16:30.000]  They're like, they wear like the clothes, like they pretend that they were served in Vietnam.
[01:16:30.000 --> 01:16:33.000]  And they pretend they served in Afghanistan, but they never did anything.
[01:16:33.000 --> 01:16:35.000]  And they never even left their town.
[01:16:35.000 --> 01:16:37.000]  And he works at the building too.
[01:16:37.000 --> 01:16:40.000]  He opens the door for the cars, basically.
[01:16:40.000 --> 01:16:42.000]  He's like a dormant for cars.
[01:16:42.000 --> 01:16:46.000]  But the attitude, and he's very, he's got this racist fucking thing too.
[01:16:46.000 --> 01:16:48.000]  And he was there too.
[01:16:48.000 --> 01:16:51.000]  And he said, excuse me, officer, I would like to talk to you in person a little longer afterwards.
[01:16:51.000 --> 01:16:53.000]  Yeah, I know exactly.
[01:16:53.000 --> 01:16:54.000]  He's just going to talk shit about me.
[01:16:54.000 --> 01:16:56.000]  And I just was like, what the fuck is happening?
[01:16:56.000 --> 01:16:59.000]  The film crew that's following me around, they came.
[01:16:59.000 --> 01:17:02.000]  And they said, there was so much animosity in the air.
[01:17:02.000 --> 01:17:06.000]  They said, we knew, and we don't want to tell you this, but we feel like this was the whole setup.
[01:17:06.000 --> 01:17:07.000]  This was planned.
[01:17:07.000 --> 01:17:09.000]  Like there was people, there was evil there.
[01:17:09.000 --> 01:17:11.000]  There was something hatred there for you.
[01:17:11.000 --> 01:17:13.000]  Yeah, yeah.
[01:17:13.000 --> 01:17:14.000]  My name's Rocco.
[01:17:14.000 --> 01:17:15.000]  It wasn't obviously not now.
[01:17:15.000 --> 01:17:18.000]  And I've been told about this, Adore.
[01:17:18.000 --> 01:17:22.000]  But Rocco Castoro, he was the former editor-in-chief of Vice.
[01:17:22.000 --> 01:17:24.000]  And he's doing a documentary.
[01:17:24.000 --> 01:17:26.000]  No.
[01:17:26.000 --> 01:17:27.000]  Sorry?
[01:17:27.000 --> 01:17:29.000]  Yeah, I think I saw it on YouTube.
[01:17:29.000 --> 01:17:30.000]  Oh, you didn't?
[01:17:30.000 --> 01:17:31.000]  It's on?
[01:17:31.000 --> 01:17:32.000]  Formerly.
[01:17:32.000 --> 01:17:33.000]  Yeah.
[01:17:33.000 --> 01:17:34.000]  Sorry, you have a new channel.
[01:17:34.000 --> 01:17:40.000]  Yeah, anything with some other, some dude named Tim Pool, which I don't know him,
[01:17:40.000 --> 01:17:41.000]  but I heard bad things.
[01:17:41.000 --> 01:17:44.000]  So I'm trying to distance myself from that name, is what I've been told.
[01:17:44.000 --> 01:17:47.000]  It's like, well, whatever you do, don't associate yourself with that name.
[01:17:47.000 --> 01:17:50.000]  But he's financing this project for some reason.
[01:17:50.000 --> 01:17:54.000]  Yeah, trying to recreate Vice magic.
[01:17:54.000 --> 01:17:55.000]  Exactly.
[01:17:55.000 --> 01:17:57.000]  He was fired, actually.
[01:17:57.000 --> 01:17:58.000]  Yeah.
[01:17:58.000 --> 01:18:03.000]  It was the way he tells the sexual harassment thing that they were covering up in HR.
[01:18:03.000 --> 01:18:06.000]  And it was a whole mess, because the sexual harassment was from wines,
[01:18:06.000 --> 01:18:09.000]  the head of HR worked for Harvey Weinstein as well.
[01:18:09.000 --> 01:18:11.000]  This is a whole fucking mess.
[01:18:11.000 --> 01:18:14.000]  It's like a real fucking crazy shit.
[01:18:14.000 --> 01:18:19.000]  Anyway, don't believe everything Rocco says, because he exaggerates and bellishes a lot.
[01:18:19.000 --> 01:18:22.000]  But he did say, like, we were not welcome.
[01:18:22.000 --> 01:18:24.000]  They told us to leave right away.
[01:18:24.000 --> 01:18:27.000]  And not dating the police, the building.
[01:18:27.000 --> 01:18:30.000]  So they had to take all this stuff and go.
[01:18:30.000 --> 01:18:33.000]  And then Marie also said, I felt like we were set up.
[01:18:33.000 --> 01:18:38.000]  I felt like, how did the fuck did Sabah already have a court date ready on the back of her car when she came?
[01:18:38.000 --> 01:18:39.000]  How is that possible?
[01:18:39.000 --> 01:18:41.000]  How did she have that court date for Monday?
[01:18:41.000 --> 01:18:43.000]  And I was like, I don't know.
[01:18:43.000 --> 01:18:45.000]  I don't know how DCFS works.
[01:18:45.000 --> 01:18:48.000]  Apparently, the due process is not a thing there.
[01:18:48.000 --> 01:18:50.000]  There's no such thing as due process.
[01:18:50.000 --> 01:18:52.000]  They can do whatever the fuck they want.
[01:18:52.000 --> 01:18:54.000]  And that is fucking terrifying.
[01:18:54.000 --> 01:18:57.000]  And if you read that report and you were me, you would see.
[01:18:57.000 --> 01:19:01.000]  If you could see from my point of view, which I don't know if you'll be able to because you're not me.
[01:19:01.000 --> 01:19:06.000]  You don't know what I'm like and what Marie's like and Marla's like and Patel and Steve.
[01:19:06.000 --> 01:19:10.000]  It's fucking terrifying that this is in the public record.
[01:19:10.000 --> 01:19:14.000]  And there's a judge that yesterday, the judge heard this.
[01:19:14.000 --> 01:19:16.000]  And I'm sorry.
[01:19:16.000 --> 01:19:19.000]  I'm scared to have Hava, the social worker.
[01:19:19.000 --> 01:19:20.000]  She comes.
[01:19:20.000 --> 01:19:22.000]  Marie is fucking in tears.
[01:19:22.000 --> 01:19:23.000]  She is crying.
[01:19:23.000 --> 01:19:25.000]  She's inconsolable.
[01:19:25.000 --> 01:19:28.000]  She is barely in our reality at this point.
[01:19:28.000 --> 01:19:30.000]  And this woman comes up to her and says,
[01:19:30.000 --> 01:19:32.000]  so did you kill her?
[01:19:32.000 --> 01:19:33.000]  So was it an overdose?
[01:19:33.000 --> 01:19:34.000]  Are you drugs?
[01:19:34.000 --> 01:19:35.000]  Yeah?
[01:19:35.000 --> 01:19:36.000]  Tell me how many drugs did you do today?
[01:19:36.000 --> 01:19:38.000]  And she's like this.
[01:19:38.000 --> 01:19:39.000]  Right there.
[01:19:39.000 --> 01:19:45.000]  And Marie is just uncontrollably sobbing, telling her to fuck off as nice as she possibly can.
[01:19:45.000 --> 01:19:46.000]  But she's answering the question.
[01:19:46.000 --> 01:19:48.000]  She's like, no, of course not.
[01:19:48.000 --> 01:19:49.000]  Where's the cleaning supply?
[01:19:49.000 --> 01:19:50.000]  Show me the cleaning.
[01:19:50.000 --> 01:19:53.000]  And the LAPD would not let her in the house.
[01:19:53.000 --> 01:19:54.000]  So that was good.
[01:19:54.000 --> 01:19:56.000]  They wanted this woman out there.
[01:19:56.000 --> 01:20:03.000]  Now, I have some footage of her screaming at Marie because the security camera did get a pretty good view of it.
[01:20:03.000 --> 01:20:06.000]  I have not gone through any yet because I've been going through all this other shit.
[01:20:06.000 --> 01:20:08.000]  I will do that later today.
[01:20:08.000 --> 01:20:11.000]  And I'll find out exactly what the fuck happened.
[01:20:11.000 --> 01:20:13.000]  Now, everything was fine.
[01:20:13.000 --> 01:20:15.000]  And the coroner, we had to wait for the coroner.
[01:20:15.000 --> 01:20:19.000]  And the coroner comes in and he's like, he comes in like a superstar.
[01:20:19.000 --> 01:20:21.000]  He's like, everyone's waiting for the coroner.
[01:20:21.000 --> 01:20:22.000]  He shows up.
[01:20:22.000 --> 01:20:23.000]  He's like, well dressed, well groomed.
[01:20:23.000 --> 01:20:25.000]  He's like, hey guys, I'm here.
[01:20:25.000 --> 01:20:28.000]  And I was like, OK, good.
[01:20:28.000 --> 01:20:29.000]  Interesting.
[01:20:29.000 --> 01:20:31.000]  He was like a personality, which was strange and interesting.
[01:20:31.000 --> 01:20:33.000]  And then the whole mood changed.
[01:20:33.000 --> 01:20:37.000]  And all suspicions toward me just sort of dissipated.
[01:20:37.000 --> 01:20:42.000]  And the guy did his job and he was very thorough.
[01:20:42.000 --> 01:20:44.000]  And he said, Val, here's the case number.
[01:20:44.000 --> 01:20:46.000]  Any questions you call me?
[01:20:46.000 --> 01:20:52.000]  I'm sorry to tell you, but when people die, there's a blood barrier thing in your nose.
[01:20:52.000 --> 01:20:54.000]  And the blood drips out the nose.
[01:20:54.000 --> 01:20:56.000]  So there's blood on the bed.
[01:20:56.000 --> 01:20:59.000]  I was like, no, OK, it's disgusting.
[01:20:59.000 --> 01:21:02.000]  He said, you're probably going to want to get rid of the sheets.
[01:21:02.000 --> 01:21:03.000]  I was like, yes.
[01:21:03.000 --> 01:21:04.000]  They will take them for us.
[01:21:04.000 --> 01:21:07.000]  They can take the fucking sheets, man.
[01:21:07.000 --> 01:21:12.000]  But Saba, during this time, takes Marlowe and gives him the Steve
[01:21:12.000 --> 01:21:15.000]  and decides that Marlowe cannot be with us.
[01:21:15.000 --> 01:21:16.000]  She makes this decision.
[01:21:16.000 --> 01:21:17.000]  She's screaming at Marie.
[01:21:17.000 --> 01:21:19.000]  Marie is inconsolable and she takes Marlowe.
[01:21:19.000 --> 01:21:24.000]  She does not tell Marie, OK, until later.
[01:21:24.000 --> 01:21:28.000]  And then Marlowe, and if Marie comes to me, I'm inside talking to police officers.
[01:21:28.000 --> 01:21:29.000]  She took them.
[01:21:29.000 --> 01:21:30.000]  They took Marlowe.
[01:21:30.000 --> 01:21:31.000]  They took Marlowe.
[01:21:31.000 --> 01:21:32.000]  So I start running out there.
[01:21:32.000 --> 01:21:35.000]  I get to the fucking park and I see Marlowe and he's sitting down.
[01:21:35.000 --> 01:21:39.000]  I see Saba and they're going about to approach Marlowe.
[01:21:39.000 --> 01:21:40.000]  I see Steve behind her.
[01:21:40.000 --> 01:21:41.000]  Just fucking.
[01:21:41.000 --> 01:21:43.000]  Steve's so sick, he's smiling.
[01:21:43.000 --> 01:21:44.000]  He's fucking grinning.
[01:21:44.000 --> 01:21:46.000]  He's fucking smiling.
[01:21:46.000 --> 01:21:47.000]  He's so happy about this shit.
[01:21:47.000 --> 01:21:48.000]  And I go there.
[01:21:48.000 --> 01:21:49.000]  I say, you're not taking Marlowe.
[01:21:49.000 --> 01:21:50.000]  No.
[01:21:50.000 --> 01:21:51.000]  You're not taking Marlowe.
[01:21:51.000 --> 01:21:54.000]  I get between her and Marlowe and I say, no.
[01:21:54.000 --> 01:21:55.000]  Marlowe just comes with me.
[01:21:55.000 --> 01:21:56.000]  He grabs my hand.
[01:21:56.000 --> 01:21:57.000]  OK.
[01:21:57.000 --> 01:21:58.000]  And Steve is not like this.
[01:21:58.000 --> 01:22:00.000]  Saba is fucking upset.
[01:22:00.000 --> 01:22:02.000]  And she goes, it's like this.
[01:22:02.000 --> 01:22:04.000]  It makes me work hard.
[01:22:04.000 --> 01:22:06.000]  It's sort of the sigh.
[01:22:06.000 --> 01:22:11.000]  And then she walks over to the police officer and tells him something.
[01:22:11.000 --> 01:22:12.000]  He comes over.
[01:22:12.000 --> 01:22:14.000]  It's like, you have to release the child now.
[01:22:14.000 --> 01:22:16.000]  You have to let him go now.
[01:22:16.000 --> 01:22:18.000]  I don't even know who this woman is.
[01:22:18.000 --> 01:22:19.000]  She comes here.
[01:22:19.000 --> 01:22:20.000]  I don't even see a badge.
[01:22:20.000 --> 01:22:21.000]  I have no paperwork.
[01:22:21.000 --> 01:22:23.000]  I have his card with court date on it.
[01:22:23.000 --> 01:22:24.000]  OK.
[01:22:24.000 --> 01:22:25.000]  Nothing.
[01:22:25.000 --> 01:22:26.000]  Do you see a badge around her?
[01:22:26.000 --> 01:22:27.000]  She's just a social worker.
[01:22:27.000 --> 01:22:28.000]  She's not a fucking officer.
[01:22:28.000 --> 01:22:31.000]  And the guy says, listen, you have to let go of the child now.
[01:22:31.000 --> 01:22:32.000]  So I'm like, OK.
[01:22:32.000 --> 01:22:33.000]  So Marlowe is going to be fine.
[01:22:33.000 --> 01:22:34.000]  We'll figure it out.
[01:22:34.000 --> 01:22:35.000]  Don't worry.
[01:22:35.000 --> 01:22:36.000]  Et cetera.
[01:22:36.000 --> 01:22:37.000]  Steve takes him off.
[01:22:37.000 --> 01:22:38.000]  Takes him away.
[01:22:38.000 --> 01:22:39.000]  And we haven't seen him since.
[01:22:39.000 --> 01:22:42.000]  Now, we get this fucking shitty lawyer.
[01:22:42.000 --> 01:22:45.000]  Here's a problem.
[01:22:46.000 --> 01:22:47.000]  Sorry.
[01:22:47.000 --> 01:22:48.000]  It's so convoluted.
[01:22:48.000 --> 01:22:49.000]  But I just want to make sure you got it.
[01:22:49.000 --> 01:22:50.000]  I want to be thorough.
[01:22:50.000 --> 01:22:51.000]  Right?
[01:22:51.000 --> 01:22:53.000]  I don't want to miss any details.
[01:22:53.000 --> 01:22:54.000]  This is important.
[01:22:54.000 --> 01:23:03.000]  Marie is so upset that she doesn't care a woman just died on the bed.
[01:23:03.000 --> 01:23:07.000]  She gets a blanket and just goes on the bed and sleeps.
[01:23:07.000 --> 01:23:08.000]  And I'm like, wow.
[01:23:08.000 --> 01:23:10.000]  I didn't think she had that in her.
[01:23:10.000 --> 01:23:13.000]  I was like, there's some coldness in her.
[01:23:13.000 --> 01:23:15.000]  I'm like, Marie, use that coldness.
[01:23:15.000 --> 01:23:16.000]  Later I am.
[01:23:16.000 --> 01:23:17.000]  You've got to use that now.
[01:23:17.000 --> 01:23:19.000]  You cannot lose your shit like you did today with Salva.
[01:23:19.000 --> 01:23:21.000]  Because she was screaming and crying.
[01:23:21.000 --> 01:23:24.000]  And Marie's not a weak woman.
[01:23:24.000 --> 01:23:27.000]  But something happened at that moment.
[01:23:27.000 --> 01:23:30.000]  The woman really worked her.
[01:23:33.000 --> 01:23:38.000]  And then we immediately called this woman named Dorothy Gibbons White.
[01:23:38.000 --> 01:23:46.000]  And she is a lawyer that represented a famous friend of Marie's that was an NCIS actress named Zoe.
[01:23:46.000 --> 01:23:50.000]  And she did the most horrendous thing that he could do.
[01:23:50.000 --> 01:23:51.000]  But you know what?
[01:23:51.000 --> 01:23:52.000]  She fucking fights dirty.
[01:23:52.000 --> 01:23:57.000]  She accused the husband of Zoe of being a child rapist.
[01:23:57.000 --> 01:24:01.000]  Like raping the son, Sebastian, every day for like a year or something.
[01:24:01.000 --> 01:24:02.000]  And I'm like, wow.
[01:24:02.000 --> 01:24:03.000]  Let's fuck that.
[01:24:03.000 --> 01:24:04.000]  And Marie's like, fuck that.
[01:24:04.000 --> 01:24:05.000]  I don't think it's true.
[01:24:05.000 --> 01:24:06.000]  I'm like, what?
[01:24:06.000 --> 01:24:08.000]  And I'm like, I don't think it's true.
[01:24:08.000 --> 01:24:09.000]  Like really?
[01:24:09.000 --> 01:24:11.000]  It's like, we've got to get this woman.
[01:24:11.000 --> 01:24:13.000]  You need to fucking hire her.
[01:24:13.000 --> 01:24:14.000]  Because now we're so pissed off.
[01:24:14.000 --> 01:24:16.000]  We need someone to fight dirty.
[01:24:16.000 --> 01:24:17.000]  So we call her.
[01:24:17.000 --> 01:24:20.000]  And she says, you know, Sebastian got off.
